frame,time,ID,traj,inroi,cx,cy,displ,speed,cumdispl,accel,heading,orient,turnspeed,turnaccel,cumturn,abscumturn,rdist
153,5.1,F2,1,1,259.0,291.0,11.4,34.21,1517.8,-72.43,-37.9,,-2.88,-1.58,-133.6,596.9,178.0
154,5.13,F2,1,1,251.0,299.0,11.31,33.94,1529.1,-7.92,-45.0,,-7.12,-4.24,-140.7,604.1,170.0
155,5.17,F2,1,1,243.0,305.0,10.0,30.0,1539.1,-118.23,-53.1,,-8.13,-1.0,-148.8,612.2,164.0
156,5.2,F2,1,1,235.0,311.0,10.0,30.0,1549.1,0.0,-53.1,,0.0,8.13,-148.8,612.2,158.0
157,5.23,F2,1,1,226.0,315.0,9.85,29.55,1559.0,-13.6,-66.0,,-12.91,-12.91,-161.7,625.1,154.0
158,5.27,F2,1,1,217.0,318.0,9.49,28.46,1568.5,-32.58,-71.6,,-5.53,7.38,-167.3,630.6,151.0
159,5.3,F2,1,1,207.0,320.0,10.2,30.59,1578.6,64.01,-78.7,,-7.12,-1.6,-174.4,637.7,149.0
160,5.33,F2,1,1,197.0,321.0,10.05,30.15,1588.7,-13.33,-84.3,,-5.6,1.53,-180.0,643.3,148.0
161,5.37,F2,1,1,187.0,321.0,10.0,30.0,1598.7,-4.49,-90.0,,-5.71,-0.11,-185.7,649.1,148.0
162,5.4,F2,1,1,175.0,320.0,12.04,36.12,1610.7,183.74,-94.8,,-4.76,0.95,-190.5,653.8,149.0
163,5.43,F2,1,1,165.0,318.0,10.2,30.59,1620.9,-165.92,-101.3,,-6.55,-1.78,-197.0,660.4,151.0
164,5.47,F2,1,1,156.0,315.0,9.49,28.46,1630.4,-64.01,-108.4,,-7.12,-0.58,-204.1,667.5,154.0
165,5.5,F2,1,1,148.0,310.0,9.43,28.3,1639.9,-4.76,-122.0,,-13.57,-6.44,-217.7,681.1,148.0
166,5.53,F2,1,1,142.0,305.0,7.81,23.43,1647.7,-146.14,-129.8,,-7.8,5.77,-225.5,688.9,142.0
167,5.57,F2,1,1,136.0,299.0,8.49,25.46,1656.2,60.75,-135.0,,-5.19,2.61,-230.7,694.1,136.0
168,5.6,F2,1,1,131.0,292.0,8.6,25.81,1664.8,10.53,-144.5,,-9.46,-4.27,-240.2,703.5,131.0
169,5.63,F2,1,1,127.0,285.0,8.06,24.19,1672.8,-48.61,-150.3,,-5.79,3.67,-246.0,709.3,127.0
170,5.67,F2,1,1,125.0,277.0,8.25,24.74,1681.1,16.56,-166.0,,-15.71,-9.92,-261.7,725.0,125.0
171,5.7,F2,1,1,123.0,268.0,9.22,27.66,1690.3,87.6,-167.5,,-1.51,14.2,-263.2,726.5,123.0
172,5.73,F2,1,1,122.0,258.0,10.05,30.15,1700.3,74.73,-174.3,,-6.82,-5.31,-270.0,733.3,122.0
173,5.77,F2,1,1,122.0,249.0,9.0,27.0,1709.3,-94.49,180.0,,-5.71,1.11,-275.7,739.1,122.0
174,5.8,F2,1,1,122.0,238.0,11.0,33.0,1720.3,180.0,180.0,,0.0,5.71,-275.7,739.1,122.0
175,5.83,F2,1,1,123.0,228.0,10.05,30.15,1730.4,-85.51,174.3,,-5.71,-5.71,-281.4,744.8,123.0
176,5.87,F2,1,1,126.0,217.0,11.4,34.21,1741.8,121.67,164.7,,-9.54,-3.83,-291.0,754.3,126.0
177,5.9,F2,1,1,128.0,206.0,11.18,33.54,1753.0,-19.93,169.7,,4.95,14.5,-286.0,759.3,128.0
178,5.93,F2,1,1,132.0,194.0,12.65,37.95,1765.6,132.19,161.6,,-8.13,-13.08,-294.1,767.4,132.0
